"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 04:00 - 03/01/2024 04:30","Ireland (IE)","3178.70","3688.00"
"03/01/2024 04:30 - 03/01/2024 05:00","Ireland (IE)","3130.74","3671.00"
"03/01/2024 05:00 - 03/01/2024 05:30","Ireland (IE)","3116.12","3667.00"
"03/01/2024 05:30 - 03/01/2024 06:00","Ireland (IE)","3085.72","3664.00"
"03/01/2024 06:00 - 03/01/2024 06:30","Ireland (IE)","3108.76","3690.00"
"03/01/2024 06:30 - 03/01/2024 07:00","Ireland (IE)","3170.33","3717.00"
"03/01/2024 07:00 - 03/01/2024 07:30","Ireland (IE)","3275.87","3862.00"
"03/01/2024 07:30 - 03/01/2024 08:00","Ireland (IE)","3433.56","4008.00"
"03/01/2024 08:00 - 03/01/2024 08:30","Ireland (IE)","3604.40","4138.00"
"03/01/2024 08:30 - 03/01/2024 09:00","Ireland (IE)","3810.08","4269.00"
"03/01/2024 09:00 - 03/01/2024 09:30","Ireland (IE)","3968.19","4325.00"
"03/01/2024 09:30 - 03/01/2024 10:00","Ireland (IE)","4090.59","4382.00"
"03/01/2024 10:00 - 03/01/2024 10:30","Ireland (IE)","4213.12","4483.00"
"03/01/2024 10:30 - 03/01/2024 11:00","Ireland (IE)","4341.73","4584.00"
"03/01/2024 11:00 - 03/01/2024 11:30","Ireland (IE)","4392.83","4665.00"
"03/01/2024 11:30 - 03/01/2024 12:00","Ireland (IE)","4425.25","4745.00"
"03/01/2024 12:00 - 03/01/2024 12:30","Ireland (IE)","4449.35","4798.00"
"03/01/2024 12:30 - 03/01/2024 13:00","Ireland (IE)","4465.00","4850.00"
"03/01/2024 13:00 - 03/01/2024 13:30","Ireland (IE)","4474.44","4875.00"
"03/01/2024 13:30 - 03/01/2024 14:00","Ireland (IE)","4521.37","4901.00"
"03/01/2024 14:00 - 03/01/2024 14:30","Ireland (IE)","4570.45","4908.00"
"03/01/2024 14:30 - 03/01/2024 15:00","Ireland (IE)","4513.09","4915.00"
"03/01/2024 15:00 - 03/01/2024 15:30","Ireland (IE)","4494.77","4918.00"
"03/01/2024 15:30 - 03/01/2024 16:00","Ireland (IE)","4513.36","4922.00"
"03/01/2024 16:00 - 03/01/2024 16:30","Ireland (IE)","4481.77","4955.00"
"03/01/2024 16:30 - 03/01/2024 17:00","Ireland (IE)","4532.52","4988.00"
"03/01/2024 17:00 - 03/01/2024 17:30","Ireland (IE)","4571.52","5109.00"
"03/01/2024 17:30 - 03/01/2024 18:00","Ireland (IE)","4714.51","5231.00"
"03/01/2024 18:00 - 03/01/2024 18:30","Ireland (IE)","4902.87","5354.00"
"03/01/2024 18:30 - 03/01/2024 19:00","Ireland (IE)","5033.13","5476.00"
"03/01/2024 19:00 - 03/01/2024 19:30","Ireland (IE)","4988.08","5408.00"
"03/01/2024 19:30 - 03/01/2024 20:00","Ireland (IE)","4901.35","5340.00"
"03/01/2024 20:00 - 03/01/2024 20:30","Ireland (IE)","4799.83","5230.00"
"03/01/2024 20:30 - 03/01/2024 21:00","Ireland (IE)","4693.52","5120.00"
"03/01/2024 21:00 - 03/01/2024 21:30","Ireland (IE)","4568.36","5004.00"
"03/01/2024 21:30 - 03/01/2024 22:00","Ireland (IE)","4423.70","4888.00"
"03/01/2024 22:00 - 03/01/2024 22:30","Ireland (IE)","4299.28","4740.00"
"03/01/2024 22:30 - 03/01/2024 23:00","Ireland (IE)","4179.32","4592.00"
"03/01/2024 23:00 - 03/01/2024 23:30","Ireland (IE)","4028.45","4395.00"
"03/01/2024 23:30 - 04/01/2024 00:00","Ireland (IE)","3893.65","4198.00"
"04/01/2024 00:00 - 04/01/2024 00:30","Ireland (IE)","3744.72","4174.00"
"04/01/2024 00:30 - 04/01/2024 01:00","Ireland (IE)","3715.43","4150.00"
"04/01/2024 01:00 - 04/01/2024 01:30","Ireland (IE)","3600.84","4177.00"
"04/01/2024 01:30 - 04/01/2024 02:00","Ireland (IE)","3507.73","4205.00"
"04/01/2024 02:00 - 04/01/2024 02:30","Ireland (IE)","3409.80","4064.00"
"04/01/2024 02:30 - 04/01/2024 03:00","Ireland (IE)","3336.71","3924.00"
"04/01/2024 03:00 - 04/01/2024 03:30","Ireland (IE)","3255.99","3878.00"
"04/01/2024 03:30 - 04/01/2024 04:00","Ireland (IE)","3276.75","3831.00"
"04/01/2024 04:00 - 04/01/2024 04:30","Ireland (IE)","3194.85","3806.00"
"04/01/2024 04:30 - 04/01/2024 05:00","Ireland (IE)","3176.23","3780.00"
"04/01/2024 05:00 - 04/01/2024 05:30","Ireland (IE)","3162.39","3775.00"
"04/01/2024 05:30 - 04/01/2024 06:00","Ireland (IE)","3136.67","3770.00"
