"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"18/05/2024 09:00 - 18/05/2024 09:30","Ireland (IE)","3391.09","3724.00"
"18/05/2024 09:30 - 18/05/2024 10:00","Ireland (IE)","3577.28","3802.00"
"18/05/2024 10:00 - 18/05/2024 10:30","Ireland (IE)","3657.98","3854.00"
"18/05/2024 10:30 - 18/05/2024 11:00","Ireland (IE)","3765.69","3906.00"
"18/05/2024 11:00 - 18/05/2024 11:30","Ireland (IE)","3789.27","3925.00"
"18/05/2024 11:30 - 18/05/2024 12:00","Ireland (IE)","3808.75","3944.00"
"18/05/2024 12:00 - 18/05/2024 12:30","Ireland (IE)","3764.78","3948.00"
"18/05/2024 12:30 - 18/05/2024 13:00","Ireland (IE)","3823.22","3953.00"
"18/05/2024 13:00 - 18/05/2024 13:30","Ireland (IE)","3802.71","3931.00"
"18/05/2024 13:30 - 18/05/2024 14:00","Ireland (IE)","3788.57","3909.00"
"18/05/2024 14:00 - 18/05/2024 14:30","Ireland (IE)","3760.12","3883.00"
"18/05/2024 14:30 - 18/05/2024 15:00","Ireland (IE)","3694.14","3858.00"
"18/05/2024 15:00 - 18/05/2024 15:30","Ireland (IE)","3641.59","3843.00"
"18/05/2024 15:30 - 18/05/2024 16:00","Ireland (IE)","3602.32","3828.00"
"18/05/2024 16:00 - 18/05/2024 16:30","Ireland (IE)","3542.32","3845.00"
"18/05/2024 16:30 - 18/05/2024 17:00","Ireland (IE)","3519.39","3862.00"
"18/05/2024 17:00 - 18/05/2024 17:30","Ireland (IE)","3499.53","3897.00"
"18/05/2024 17:30 - 18/05/2024 18:00","Ireland (IE)","3522.57","3932.00"
"18/05/2024 18:00 - 18/05/2024 18:30","Ireland (IE)","3568.19","3936.00"
"18/05/2024 18:30 - 18/05/2024 19:00","Ireland (IE)","3642.11","3940.00"
"18/05/2024 19:00 - 18/05/2024 19:30","Ireland (IE)","3679.85","3902.00"
"18/05/2024 19:30 - 18/05/2024 20:00","Ireland (IE)","3681.39","3863.00"
"18/05/2024 20:00 - 18/05/2024 20:30","Ireland (IE)","3658.34","3800.00"
"18/05/2024 20:30 - 18/05/2024 21:00","Ireland (IE)","3667.45","3737.00"
"18/05/2024 21:00 - 18/05/2024 21:30","Ireland (IE)","3626.99","3696.00"
"18/05/2024 21:30 - 18/05/2024 22:00","Ireland (IE)","3604.33","3654.00"
"18/05/2024 22:00 - 18/05/2024 22:30","Ireland (IE)","3573.84","3654.00"
"18/05/2024 22:30 - 18/05/2024 23:00","Ireland (IE)","3534.60","3655.00"
"18/05/2024 23:00 - 18/05/2024 23:30","Ireland (IE)","3556.92","3618.00"
"18/05/2024 23:30 - 19/05/2024 00:00","Ireland (IE)","3457.24","3581.00"
"19/05/2024 00:00 - 19/05/2024 00:30","Ireland (IE)","3345.61","3519.00"
"19/05/2024 00:30 - 19/05/2024 01:00","Ireland (IE)","3231.57","3456.00"
"19/05/2024 01:00 - 19/05/2024 01:30","Ireland (IE)","3120.55","3417.00"
"19/05/2024 01:30 - 19/05/2024 02:00","Ireland (IE)","3073.22","3378.00"
"19/05/2024 02:00 - 19/05/2024 02:30","Ireland (IE)","3012.76","3341.00"
"19/05/2024 02:30 - 19/05/2024 03:00","Ireland (IE)","2958.57","3305.00"
"19/05/2024 03:00 - 19/05/2024 03:30","Ireland (IE)","2909.76","3283.00"
"19/05/2024 03:30 - 19/05/2024 04:00","Ireland (IE)","2909.75","3260.00"
"19/05/2024 04:00 - 19/05/2024 04:30","Ireland (IE)","2863.19","3239.00"
"19/05/2024 04:30 - 19/05/2024 05:00","Ireland (IE)","2822.74","3218.00"
"19/05/2024 05:00 - 19/05/2024 05:30","Ireland (IE)","2804.72","3212.00"
"19/05/2024 05:30 - 19/05/2024 06:00","Ireland (IE)","2791.97","3206.00"
"19/05/2024 06:00 - 19/05/2024 06:30","Ireland (IE)","2782.79","3249.00"
"19/05/2024 06:30 - 19/05/2024 07:00","Ireland (IE)","2746.01","3291.00"
"19/05/2024 07:00 - 19/05/2024 07:30","Ireland (IE)","2768.04","3370.00"
"19/05/2024 07:30 - 19/05/2024 08:00","Ireland (IE)","2816.29","3450.00"
"19/05/2024 08:00 - 19/05/2024 08:30","Ireland (IE)","2874.76","3495.00"
"19/05/2024 08:30 - 19/05/2024 09:00","Ireland (IE)","2970.12","3541.00"
"19/05/2024 09:00 - 19/05/2024 09:30","Ireland (IE)","3056.59","3593.00"
"19/05/2024 09:30 - 19/05/2024 10:00","Ireland (IE)","3174.27","3644.00"
"19/05/2024 10:00 - 19/05/2024 10:30","Ireland (IE)","3253.20","3639.00"
"19/05/2024 10:30 - 19/05/2024 11:00","Ireland (IE)","3330.36","3633.00"
"19/05/2024 11:00 - 19/05/2024 11:30","Ireland (IE)","3358.62","3683.00"
"19/05/2024 11:30 - 19/05/2024 12:00","Ireland (IE)","3372.96","3733.00"
"19/05/2024 12:00 - 19/05/2024 12:30","Ireland (IE)","3375.43","3769.00"
"19/05/2024 12:30 - 19/05/2024 13:00","Ireland (IE)","3393.82","3805.00"
"19/05/2024 13:00 - 19/05/2024 13:30","Ireland (IE)","3360.46","3812.00"
"19/05/2024 13:30 - 19/05/2024 14:00","Ireland (IE)","3370.03","3819.00"
"19/05/2024 14:00 - 19/05/2024 14:30","Ireland (IE)","3361.02","3801.00"
"19/05/2024 14:30 - 19/05/2024 15:00","Ireland (IE)","3320.25","3783.00"
"19/05/2024 15:00 - 19/05/2024 15:30","Ireland (IE)","3277.59","3762.00"
"19/05/2024 15:30 - 19/05/2024 16:00","Ireland (IE)","3240.22","3742.00"
"19/05/2024 16:00 - 19/05/2024 16:30","Ireland (IE)","3215.37","3750.00"
"19/05/2024 16:30 - 19/05/2024 17:00","Ireland (IE)","3210.93","3758.00"
"19/05/2024 17:00 - 19/05/2024 17:30","Ireland (IE)","3237.67","3784.00"
"19/05/2024 17:30 - 19/05/2024 18:00","Ireland (IE)","3280.28","3810.00"
"19/05/2024 18:00 - 19/05/2024 18:30","Ireland (IE)","3392.85","3809.00"
"19/05/2024 18:30 - 19/05/2024 19:00","Ireland (IE)","3526.32","3808.00"
"19/05/2024 19:00 - 19/05/2024 19:30","Ireland (IE)","3605.00","3783.00"
"19/05/2024 19:30 - 19/05/2024 20:00","Ireland (IE)","3639.62","3757.00"
"19/05/2024 20:00 - 19/05/2024 20:30","Ireland (IE)","3689.81","3713.00"
"19/05/2024 20:30 - 19/05/2024 21:00","Ireland (IE)","3724.73","3669.00"
"19/05/2024 21:00 - 19/05/2024 21:30","Ireland (IE)","3713.41","3659.00"
"19/05/2024 21:30 - 19/05/2024 22:00","Ireland (IE)","3687.89","3649.00"
"19/05/2024 22:00 - 19/05/2024 22:30","Ireland (IE)","3654.81","3641.00"
"19/05/2024 22:30 - 19/05/2024 23:00","Ireland (IE)","3615.23","3633.00"
"19/05/2024 23:00 - 19/05/2024 23:30","Ireland (IE)","3598.60","3580.00"
"19/05/2024 23:30 - 20/05/2024 00:00","Ireland (IE)","3479.11","3527.00"
"20/05/2024 00:00 - 20/05/2024 00:30","Ireland (IE)","3316.61","3447.00"
"20/05/2024 00:30 - 20/05/2024 01:00","Ireland (IE)","3202.15","3366.00"
"20/05/2024 01:00 - 20/05/2024 01:30","Ireland (IE)","3092.57","3319.00"
"20/05/2024 01:30 - 20/05/2024 02:00","Ireland (IE)","3028.64","3272.00"
"20/05/2024 02:00 - 20/05/2024 02:30","Ireland (IE)","2969.87","3246.00"
"20/05/2024 02:30 - 20/05/2024 03:00","Ireland (IE)","2915.32","3220.00"
"20/05/2024 03:00 - 20/05/2024 03:30","Ireland (IE)","2885.18","3209.00"
"20/05/2024 03:30 - 20/05/2024 04:00","Ireland (IE)","2908.24","3199.00"
"20/05/2024 04:00 - 20/05/2024 04:30","Ireland (IE)","2870.68","3193.00"
"20/05/2024 04:30 - 20/05/2024 05:00","Ireland (IE)","2845.00","3187.00"
"20/05/2024 05:00 - 20/05/2024 05:30","Ireland (IE)","2827.48","3203.00"
"20/05/2024 05:30 - 20/05/2024 06:00","Ireland (IE)","2840.50","3218.00"
"20/05/2024 06:00 - 20/05/2024 06:30","Ireland (IE)","2850.28","3312.00"
"20/05/2024 06:30 - 20/05/2024 07:00","Ireland (IE)","2866.93","3405.00"
"20/05/2024 07:00 - 20/05/2024 07:30","Ireland (IE)","2972.64","3541.00"
"20/05/2024 07:30 - 20/05/2024 08:00","Ireland (IE)","3141.26","3676.00"
"20/05/2024 08:00 - 20/05/2024 08:30","Ireland (IE)","3393.82","3876.00"
"20/05/2024 08:30 - 20/05/2024 09:00","Ireland (IE)","3692.01","4076.00"
"20/05/2024 09:00 - 20/05/2024 09:30","Ireland (IE)","3857.06","4162.00"
"20/05/2024 09:30 - 20/05/2024 10:00","Ireland (IE)","3934.50","4249.00"
"20/05/2024 10:00 - 20/05/2024 10:30","Ireland (IE)","3947.22","4250.00"
"20/05/2024 10:30 - 20/05/2024 11:00","Ireland (IE)","3927.73","4252.00"
"20/05/2024 11:00 - 20/05/2024 11:30","Ireland (IE)","3870.28","4239.00"
"20/05/2024 11:30 - 20/05/2024 12:00","Ireland (IE)","3819.63","4227.00"
"20/05/2024 12:00 - 20/05/2024 12:30","Ireland (IE)","3781.90","4226.00"
"20/05/2024 12:30 - 20/05/2024 13:00","Ireland (IE)","3750.29","4224.00"
"20/05/2024 13:00 - 20/05/2024 13:30","Ireland (IE)","3703.20","4204.00"
"20/05/2024 13:30 - 20/05/2024 14:00","Ireland (IE)","3724.19","4184.00"
"20/05/2024 14:00 - 20/05/2024 14:30","Ireland (IE)","3716.76","4162.00"
"20/05/2024 14:30 - 20/05/2024 15:00","Ireland (IE)","3650.49","4140.00"
"20/05/2024 15:00 - 20/05/2024 15:30","Ireland (IE)","3676.78","4153.00"
"20/05/2024 15:30 - 20/05/2024 16:00","Ireland (IE)","3681.33","4165.00"
"20/05/2024 16:00 - 20/05/2024 16:30","Ireland (IE)","3680.73","4208.00"
"20/05/2024 16:30 - 20/05/2024 17:00","Ireland (IE)","3749.54","4252.00"
"20/05/2024 17:00 - 20/05/2024 17:30","Ireland (IE)","3760.68","4322.00"
"20/05/2024 17:30 - 20/05/2024 18:00","Ireland (IE)","3843.57","4393.00"
"20/05/2024 18:00 - 20/05/2024 18:30","Ireland (IE)","3911.00","4366.00"
"20/05/2024 18:30 - 20/05/2024 19:00","Ireland (IE)","3994.64","4339.00"
"20/05/2024 19:00 - 20/05/2024 19:30","Ireland (IE)","4044.22","4258.00"
"20/05/2024 19:30 - 20/05/2024 20:00","Ireland (IE)","4012.49","4177.00"
"20/05/2024 20:00 - 20/05/2024 20:30","Ireland (IE)","3981.28","4104.00"
"20/05/2024 20:30 - 20/05/2024 21:00","Ireland (IE)","3974.90","4030.00"
"20/05/2024 21:00 - 20/05/2024 21:30","Ireland (IE)","3957.39","3981.00"
"20/05/2024 21:30 - 20/05/2024 22:00","Ireland (IE)","3953.96","3932.00"
"20/05/2024 22:00 - 20/05/2024 22:30","Ireland (IE)","3918.83","3862.00"
"20/05/2024 22:30 - 20/05/2024 23:00","Ireland (IE)","3869.14","3792.00"
"20/05/2024 23:00 - 20/05/2024 23:30","Ireland (IE)","3823.75","3713.00"
"20/05/2024 23:30 - 21/05/2024 00:00","Ireland (IE)","3685.23","3634.00"
"21/05/2024 00:00 - 21/05/2024 00:30","Ireland (IE)","3524.06","3578.00"
"21/05/2024 00:30 - 21/05/2024 01:00","Ireland (IE)","3353.67","3522.00"
"21/05/2024 01:00 - 21/05/2024 01:30","Ireland (IE)","3230.65","3453.00"
"21/05/2024 01:30 - 21/05/2024 02:00","Ireland (IE)","3171.42","3384.00"
"21/05/2024 02:00 - 21/05/2024 02:30","Ireland (IE)","3093.40","3354.00"
"21/05/2024 02:30 - 21/05/2024 03:00","Ireland (IE)","3048.40","3324.00"
"21/05/2024 03:00 - 21/05/2024 03:30","Ireland (IE)","3005.08","3313.00"
"21/05/2024 03:30 - 21/05/2024 04:00","Ireland (IE)","3012.74","3302.00"
"21/05/2024 04:00 - 21/05/2024 04:30","Ireland (IE)","2993.79","3295.00"
"21/05/2024 04:30 - 21/05/2024 05:00","Ireland (IE)","2998.17","3287.00"
"21/05/2024 05:00 - 21/05/2024 05:30","Ireland (IE)","2972.65","3298.00"
"21/05/2024 05:30 - 21/05/2024 06:00","Ireland (IE)","2974.75","3309.00"
"21/05/2024 06:00 - 21/05/2024 06:30","Ireland (IE)","2972.15","3398.00"
"21/05/2024 06:30 - 21/05/2024 07:00","Ireland (IE)","2978.98","3486.00"
"21/05/2024 07:00 - 21/05/2024 07:30","Ireland (IE)","3071.72","3621.00"
"21/05/2024 07:30 - 21/05/2024 08:00","Ireland (IE)","3258.63","3755.00"
"21/05/2024 08:00 - 21/05/2024 08:30","Ireland (IE)","3504.99","3950.00"
"21/05/2024 08:30 - 21/05/2024 09:00","Ireland (IE)","3811.23","4144.00"
"21/05/2024 09:00 - 21/05/2024 09:30","Ireland (IE)","3971.26","4233.00"
"21/05/2024 09:30 - 21/05/2024 10:00","Ireland (IE)","4021.39","4322.00"
"21/05/2024 10:00 - 21/05/2024 10:30","Ireland (IE)","4078.05","4318.00"
"21/05/2024 10:30 - 21/05/2024 11:00","Ireland (IE)","4077.29","4315.00"
"21/05/2024 11:00 - 21/05/2024 11:30","Ireland (IE)","4018.16","4286.00"
"21/05/2024 11:30 - 21/05/2024 12:00","Ireland (IE)","3970.81","4256.00"
"21/05/2024 12:00 - 21/05/2024 12:30","Ireland (IE)","3941.95","4261.00"
"21/05/2024 12:30 - 21/05/2024 13:00","Ireland (IE)","3913.33","4267.00"
"21/05/2024 13:00 - 21/05/2024 13:30","Ireland (IE)","3897.92","4251.00"
"21/05/2024 13:30 - 21/05/2024 14:00","Ireland (IE)","3947.88","4236.00"
"21/05/2024 14:00 - 21/05/2024 14:30","Ireland (IE)","3966.15","4206.00"
"21/05/2024 14:30 - 21/05/2024 15:00","Ireland (IE)","3885.71","4177.00"
"21/05/2024 15:00 - 21/05/2024 15:30","Ireland (IE)","3855.58","4192.00"
"21/05/2024 15:30 - 21/05/2024 16:00","Ireland (IE)","3827.24","4208.00"
"21/05/2024 16:00 - 21/05/2024 16:30","Ireland (IE)","3879.17","4254.00"
"21/05/2024 16:30 - 21/05/2024 17:00","Ireland (IE)","3931.05","4300.00"
"21/05/2024 17:00 - 21/05/2024 17:30","Ireland (IE)","3956.56","4368.00"
"21/05/2024 17:30 - 21/05/2024 18:00","Ireland (IE)","4040.15","4436.00"
"21/05/2024 18:00 - 21/05/2024 18:30","Ireland (IE)","4120.51","4416.00"
"21/05/2024 18:30 - 21/05/2024 19:00","Ireland (IE)","4175.33","4395.00"
"21/05/2024 19:00 - 21/05/2024 19:30","Ireland (IE)","4165.13","4302.00"
"21/05/2024 19:30 - 21/05/2024 20:00","Ireland (IE)","4139.57","4209.00"
"21/05/2024 20:00 - 21/05/2024 20:30","Ireland (IE)","4071.38","4135.00"
"21/05/2024 20:30 - 21/05/2024 21:00","Ireland (IE)","4046.98","4061.00"
"21/05/2024 21:00 - 21/05/2024 21:30","Ireland (IE)","3989.96","4014.00"
"21/05/2024 21:30 - 21/05/2024 22:00","Ireland (IE)","3947.60","3967.00"
"21/05/2024 22:00 - 21/05/2024 22:30","Ireland (IE)","3935.35","3894.00"
"21/05/2024 22:30 - 21/05/2024 23:00","Ireland (IE)","3894.85","3822.00"
"21/05/2024 23:00 - 21/05/2024 23:30","Ireland (IE)","3843.74","3730.00"
"21/05/2024 23:30 - 22/05/2024 00:00","Ireland (IE)","3699.02","3638.00"
"22/05/2024 00:00 - 22/05/2024 00:30","Ireland (IE)","3504.37","3591.00"
"22/05/2024 00:30 - 22/05/2024 01:00","Ireland (IE)","3373.45","3544.00"
"22/05/2024 01:00 - 22/05/2024 01:30","Ireland (IE)","3246.82","3480.00"
"22/05/2024 01:30 - 22/05/2024 02:00","Ireland (IE)","3181.11","3417.00"
"22/05/2024 02:00 - 22/05/2024 02:30","Ireland (IE)","3094.83","3383.00"
"22/05/2024 02:30 - 22/05/2024 03:00","Ireland (IE)","3031.39","3350.00"
"22/05/2024 03:00 - 22/05/2024 03:30","Ireland (IE)","3010.94","3337.00"
"22/05/2024 03:30 - 22/05/2024 04:00","Ireland (IE)","3031.00","3323.00"
"22/05/2024 04:00 - 22/05/2024 04:30","Ireland (IE)","2987.31","3314.00"
"22/05/2024 04:30 - 22/05/2024 05:00","Ireland (IE)","2973.10","3306.00"
"22/05/2024 05:00 - 22/05/2024 05:30","Ireland (IE)","2969.26","3318.00"
"22/05/2024 05:30 - 22/05/2024 06:00","Ireland (IE)","2956.99","3330.00"
"22/05/2024 06:00 - 22/05/2024 06:30","Ireland (IE)","2954.67","3417.00"
"22/05/2024 06:30 - 22/05/2024 07:00","Ireland (IE)","2969.74","3503.00"
"22/05/2024 07:00 - 22/05/2024 07:30","Ireland (IE)","3043.84","3640.00"
"22/05/2024 07:30 - 22/05/2024 08:00","Ireland (IE)","3238.20","3777.00"
"22/05/2024 08:00 - 22/05/2024 08:30","Ireland (IE)","3487.60","3971.00"
"22/05/2024 08:30 - 22/05/2024 09:00","Ireland (IE)","3786.42","4165.00"
"22/05/2024 09:00 - 22/05/2024 09:30","Ireland (IE)","3934.22","4265.00"
"22/05/2024 09:30 - 22/05/2024 10:00","Ireland (IE)","4012.06","4365.00"
"22/05/2024 10:00 - 22/05/2024 10:30","Ireland (IE)","4014.50","4341.00"
"22/05/2024 10:30 - 22/05/2024 11:00","Ireland (IE)","4018.60","4318.00"
"22/05/2024 11:00 - 22/05/2024 11:30","Ireland (IE)","3972.40","4287.00"
"22/05/2024 11:30 - 22/05/2024 12:00","Ireland (IE)","3927.48","4256.00"
"22/05/2024 12:00 - 22/05/2024 12:30","Ireland (IE)","3937.06","4252.00"
"22/05/2024 12:30 - 22/05/2024 13:00","Ireland (IE)","3923.51","4247.00"
"22/05/2024 13:00 - 22/05/2024 13:30","Ireland (IE)","3863.95","4222.00"
"22/05/2024 13:30 - 22/05/2024 14:00","Ireland (IE)","3874.81","4197.00"
"22/05/2024 14:00 - 22/05/2024 14:30","Ireland (IE)","3881.73","4173.00"
"22/05/2024 14:30 - 22/05/2024 15:00","Ireland (IE)","3860.08","4150.00"
"22/05/2024 15:00 - 22/05/2024 15:30","Ireland (IE)","3852.44","4161.00"
"22/05/2024 15:30 - 22/05/2024 16:00","Ireland (IE)","3856.87","4173.00"
"22/05/2024 16:00 - 22/05/2024 16:30","Ireland (IE)","3853.42","4216.00"
"22/05/2024 16:30 - 22/05/2024 17:00","Ireland (IE)","3878.43","4258.00"
"22/05/2024 17:00 - 22/05/2024 17:30","Ireland (IE)","3915.90","4337.00"
"22/05/2024 17:30 - 22/05/2024 18:00","Ireland (IE)","4003.82","4416.00"
"22/05/2024 18:00 - 22/05/2024 18:30","Ireland (IE)","4086.13","4383.00"
"22/05/2024 18:30 - 22/05/2024 19:00","Ireland (IE)","4146.19","4350.00"
"22/05/2024 19:00 - 22/05/2024 19:30","Ireland (IE)","4146.03","4270.00"
"22/05/2024 19:30 - 22/05/2024 20:00","Ireland (IE)","4096.11","4190.00"
"22/05/2024 20:00 - 22/05/2024 20:30","Ireland (IE)","4051.84","4121.00"
"22/05/2024 20:30 - 22/05/2024 21:00","Ireland (IE)","4039.37","4052.00"
"22/05/2024 21:00 - 22/05/2024 21:30","Ireland (IE)","3976.37","4005.00"
"22/05/2024 21:30 - 22/05/2024 22:00","Ireland (IE)","3947.10","3959.00"
"22/05/2024 22:00 - 22/05/2024 22:30","Ireland (IE)","3890.85","3888.00"
"22/05/2024 22:30 - 22/05/2024 23:00","Ireland (IE)","3836.39","3818.00"
"22/05/2024 23:00 - 22/05/2024 23:30","Ireland (IE)","3777.30","3732.00"
"22/05/2024 23:30 - 23/05/2024 00:00","Ireland (IE)","3624.14","3647.00"
"23/05/2024 00:00 - 23/05/2024 00:30","Ireland (IE)","3466.51","3602.00"
"23/05/2024 00:30 - 23/05/2024 01:00","Ireland (IE)","3293.99","3556.00"
"23/05/2024 01:00 - 23/05/2024 01:30","Ireland (IE)","3182.80","3492.00"
"23/05/2024 01:30 - 23/05/2024 02:00","Ireland (IE)","3121.05","3428.00"
"23/05/2024 02:00 - 23/05/2024 02:30","Ireland (IE)","3047.51","3393.00"
"23/05/2024 02:30 - 23/05/2024 03:00","Ireland (IE)","2997.61","3357.00"
"23/05/2024 03:00 - 23/05/2024 03:30","Ireland (IE)","2957.96","3343.00"
"23/05/2024 03:30 - 23/05/2024 04:00","Ireland (IE)","3015.23","3329.00"
"23/05/2024 04:00 - 23/05/2024 04:30","Ireland (IE)","2978.20","3320.00"
"23/05/2024 04:30 - 23/05/2024 05:00","Ireland (IE)","2939.17","3311.00"
"23/05/2024 05:00 - 23/05/2024 05:30","Ireland (IE)","2886.14","3323.00"
"23/05/2024 05:30 - 23/05/2024 06:00","Ireland (IE)","2917.89","3334.00"
"23/05/2024 06:00 - 23/05/2024 06:30","Ireland (IE)","2912.75","3419.00"
"23/05/2024 06:30 - 23/05/2024 07:00","Ireland (IE)","2911.26","3505.00"
"23/05/2024 07:00 - 23/05/2024 07:30","Ireland (IE)","3005.76","3642.00"
"23/05/2024 07:30 - 23/05/2024 08:00","Ireland (IE)","3210.44","3779.00"
"23/05/2024 08:00 - 23/05/2024 08:30","Ireland (IE)","3472.11","3970.00"
"23/05/2024 08:30 - 23/05/2024 09:00","Ireland (IE)","3741.94","4161.00"
"23/05/2024 09:00 - 23/05/2024 09:30","Ireland (IE)","3883.11","4259.00"
"23/05/2024 09:30 - 23/05/2024 10:00","Ireland (IE)","3925.57","4356.00"
"23/05/2024 10:00 - 23/05/2024 10:30","Ireland (IE)","3923.52","4334.00"
"23/05/2024 10:30 - 23/05/2024 11:00","Ireland (IE)","3935.40","4313.00"
"23/05/2024 11:00 - 23/05/2024 11:30","Ireland (IE)","3917.02","4281.00"
"23/05/2024 11:30 - 23/05/2024 12:00","Ireland (IE)","3891.84","4250.00"
"23/05/2024 12:00 - 23/05/2024 12:30","Ireland (IE)","3890.83","4242.00"
"23/05/2024 12:30 - 23/05/2024 13:00","Ireland (IE)","3868.43","4234.00"
"23/05/2024 13:00 - 23/05/2024 13:30","Ireland (IE)","3826.74","4211.00"
"23/05/2024 13:30 - 23/05/2024 14:00","Ireland (IE)","3851.84","4188.00"
"23/05/2024 14:00 - 23/05/2024 14:30","Ireland (IE)","3828.73","4166.00"
"23/05/2024 14:30 - 23/05/2024 15:00","Ireland (IE)","3778.32","4145.00"
"23/05/2024 15:00 - 23/05/2024 15:30","Ireland (IE)","3772.67","4155.00"
"23/05/2024 15:30 - 23/05/2024 16:00","Ireland (IE)","3756.91","4166.00"
"23/05/2024 16:00 - 23/05/2024 16:30","Ireland (IE)","3786.75","4204.00"
"23/05/2024 16:30 - 23/05/2024 17:00","Ireland (IE)","3779.95","4243.00"
"23/05/2024 17:00 - 23/05/2024 17:30","Ireland (IE)","3862.55","4318.00"
"23/05/2024 17:30 - 23/05/2024 18:00","Ireland (IE)","3950.36","4393.00"
"23/05/2024 18:00 - 23/05/2024 18:30","Ireland (IE)","4047.69","4363.00"
"23/05/2024 18:30 - 23/05/2024 19:00","Ireland (IE)","4102.39","4333.00"
"23/05/2024 19:00 - 23/05/2024 19:30","Ireland (IE)","4057.79","4254.00"
"23/05/2024 19:30 - 23/05/2024 20:00","Ireland (IE)","4058.75","4176.00"
"23/05/2024 20:00 - 23/05/2024 20:30","Ireland (IE)","4042.94","4115.00"
"23/05/2024 20:30 - 23/05/2024 21:00","Ireland (IE)","4008.08","4053.00"
"23/05/2024 21:00 - 23/05/2024 21:30","Ireland (IE)","3949.10","4005.00"
"23/05/2024 21:30 - 23/05/2024 22:00","Ireland (IE)","3922.60","3957.00"
"23/05/2024 22:00 - 23/05/2024 22:30","Ireland (IE)","3896.33","3887.00"
"23/05/2024 22:30 - 23/05/2024 23:00","Ireland (IE)","3850.33","3817.00"
"23/05/2024 23:00 - 23/05/2024 23:30","Ireland (IE)","3793.70","3731.00"
"23/05/2024 23:30 - 24/05/2024 00:00","Ireland (IE)","3665.94","3645.00"
"24/05/2024 00:00 - 24/05/2024 00:30","Ireland (IE)","3491.84","3603.00"
"24/05/2024 00:30 - 24/05/2024 01:00","Ireland (IE)","3323.23","3561.00"
"24/05/2024 01:00 - 24/05/2024 01:30","Ireland (IE)","3212.23","3496.00"
"24/05/2024 01:30 - 24/05/2024 02:00","Ireland (IE)","3150.57","3432.00"
"24/05/2024 02:00 - 24/05/2024 02:30","Ireland (IE)","3079.12","3395.00"
"24/05/2024 02:30 - 24/05/2024 03:00","Ireland (IE)","3037.50","3358.00"
"24/05/2024 03:00 - 24/05/2024 03:30","Ireland (IE)","2997.20","3341.00"
"24/05/2024 03:30 - 24/05/2024 04:00","Ireland (IE)","3000.97","3323.00"
"24/05/2024 04:00 - 24/05/2024 04:30","Ireland (IE)","2952.05","3313.00"
"24/05/2024 04:30 - 24/05/2024 05:00","Ireland (IE)","2944.04","3303.00"
"24/05/2024 05:00 - 24/05/2024 05:30","Ireland (IE)","2921.39","3314.00"
"24/05/2024 05:30 - 24/05/2024 06:00","Ireland (IE)","2919.82","3326.00"
"24/05/2024 06:00 - 24/05/2024 06:30","Ireland (IE)","2942.95","3410.00"
"24/05/2024 06:30 - 24/05/2024 07:00","Ireland (IE)","2957.32","3494.00"
"24/05/2024 07:00 - 24/05/2024 07:30","Ireland (IE)","3065.03","3628.00"
"24/05/2024 07:30 - 24/05/2024 08:00","Ireland (IE)","3268.69","3763.00"
"24/05/2024 08:00 - 24/05/2024 08:30","Ireland (IE)","3525.14","3949.00"
"24/05/2024 08:30 - 24/05/2024 09:00","Ireland (IE)","3839.24","4136.00"
"24/05/2024 09:00 - 24/05/2024 09:30","Ireland (IE)","4023.26","4217.00"
"24/05/2024 09:30 - 24/05/2024 10:00","Ireland (IE)","4090.75","4298.00"
"24/05/2024 10:00 - 24/05/2024 10:30","Ireland (IE)","4102.90","4291.00"
"24/05/2024 10:30 - 24/05/2024 11:00","Ireland (IE)","4119.25","4284.00"
"24/05/2024 11:00 - 24/05/2024 11:30","Ireland (IE)","4109.86","4253.00"
"24/05/2024 11:30 - 24/05/2024 12:00","Ireland (IE)","4089.70","4222.00"
"24/05/2024 12:00 - 24/05/2024 12:30","Ireland (IE)","4081.10","4211.00"
"24/05/2024 12:30 - 24/05/2024 13:00","Ireland (IE)","4076.92","4200.00"
"24/05/2024 13:00 - 24/05/2024 13:30","Ireland (IE)","4009.35","4173.00"
"24/05/2024 13:30 - 24/05/2024 14:00","Ireland (IE)","4001.40","4147.00"
"24/05/2024 14:00 - 24/05/2024 14:30","Ireland (IE)","3964.36","4119.00"
"24/05/2024 14:30 - 24/05/2024 15:00","Ireland (IE)","3915.82","4092.00"
"24/05/2024 15:00 - 24/05/2024 15:30","Ireland (IE)","3889.71","4094.00"
"24/05/2024 15:30 - 24/05/2024 16:00","Ireland (IE)","3907.92","4096.00"
"24/05/2024 16:00 - 24/05/2024 16:30","Ireland (IE)","3897.42","4121.00"
"24/05/2024 16:30 - 24/05/2024 17:00","Ireland (IE)","3889.85","4146.00"
"24/05/2024 17:00 - 24/05/2024 17:30","Ireland (IE)","3878.69","4175.00"
"24/05/2024 17:30 - 24/05/2024 18:00","Ireland (IE)","3951.88","4204.00"
"24/05/2024 18:00 - 24/05/2024 18:30","Ireland (IE)","4014.77","4186.00"
"24/05/2024 18:30 - 24/05/2024 19:00","Ireland (IE)","4073.17","4167.00"
"24/05/2024 19:00 - 24/05/2024 19:30","Ireland (IE)","4099.19","4116.00"
"24/05/2024 19:30 - 24/05/2024 20:00","Ireland (IE)","4063.50","4064.00"
